name,hand_pixels,ai_pixels,intersection,union,iou,precision,recall
terminal,104478,96202,80157,120523,0.6651,0.8332,0.7672
window,55520,72665,51194,76991,0.6649,0.7045,0.9221
status_lamps,536,4500,0,5036,0.0000,0.0000,0.0000
